time_iso8601,stars_cumulative
2025-04-02 00:00:00+00:00,334
2025-04-04 00:00:00+00:00,336
2025-04-08 00:00:00+00:00,337
2025-04-10 00:00:00+00:00,338
2025-04-21 00:00:00+00:00,339
2025-04-28 00:00:00+00:00,340
2025-04-29 00:00:00+00:00,341
2025-04-30 00:00:00+00:00,342
2025-05-08 00:00:00+00:00,343
2025-05-12 00:00:00+00:00,344
2025-05-20 00:00:00+00:00,345
2025-05-22 00:00:00+00:00,346
2025-05-23 00:00:00+00:00,347
2025-05-24 00:00:00+00:00,348
2025-06-17 00:00:00+00:00,349
2025-06-22 00:00:00+00:00,350
2025-06-24 00:00:00+00:00,351
2025-06-25 00:00:00+00:00,352
2025-06-26 00:00:00+00:00,353
2025-06-27 00:00:00+00:00,354
2025-06-29 00:00:00+00:00,355
2025-07-04 00:00:00+00:00,356
2025-07-10 00:00:00+00:00,357
2025-07-16 00:00:00+00:00,358
2025-07-23 00:00:00+00:00,359
2025-07-25 00:00:00+00:00,360
2025-07-27 00:00:00+00:00,361
2025-08-06 00:00:00+00:00,362
2025-08-08 00:00:00+00:00,363
2025-08-10 00:00:00+00:00,364
2025-08-11 00:00:00+00:00,365
2025-08-12 00:00:00+00:00,366
2025-08-16 00:00:00+00:00,367
2025-08-17 00:00:00+00:00,368
2025-08-24 00:00:00+00:00,369
2025-08-29 00:00:00+00:00,370
2025-09-04 00:00:00+00:00,371
2025-09-05 00:00:00+00:00,372
2025-09-06 00:00:00+00:00,373
2025-09-09 00:00:00+00:00,374
2025-09-11 00:00:00+00:00,376
2025-09-12 00:00:00+00:00,377
2025-09-16 00:00:00+00:00,378
2025-09-23 00:00:00+00:00,379
2025-09-27 00:00:00+00:00,380
2025-10-04 00:00:00+00:00,381
2025-10-06 00:00:00+00:00,382
2025-10-07 00:00:00+00:00,383
2025-10-08 00:00:00+00:00,384
2025-10-10 00:00:00+00:00,385
2025-10-11 00:00:00+00:00,386
2025-10-12 00:00:00+00:00,387
2025-10-14 00:00:00+00:00,388
2025-10-15 00:00:00+00:00,389
2025-10-19 00:00:00+00:00,390
2025-10-22 00:00:00+00:00,391
2025-10-24 00:00:00+00:00,392
2025-10-26 00:00:00+00:00,393
2025-10-30 00:00:00+00:00,394
2025-11-02 00:00:00+00:00,395
2025-11-05 00:00:00+00:00,396
2025-11-07 00:00:00+00:00,397
2025-11-08 00:00:00+00:00,398
2025-11-10 00:00:00+00:00,399
2025-11-12 00:00:00+00:00,401
2025-11-13 00:00:00+00:00,402
2025-11-17 00:00:00+00:00,403
2025-11-18 00:00:00+00:00,404
2025-11-25 00:00:00+00:00,405
2025-11-30 00:00:00+00:00,406
2025-12-02 00:00:00+00:00,408
2025-12-09 00:00:00+00:00,409
2025-12-11 00:00:00+00:00,411
2025-12-15 00:00:00+00:00,412
2025-12-26 00:00:00+00:00,413
2025-12-29 00:00:00+00:00,414
2026-01-03 00:00:00+00:00,415
2026-01-04 00:00:00+00:00,416
2026-01-05 00:00:00+00:00,419
2026-01-07 00:00:00+00:00,420
2026-01-12 00:00:00+00:00,421
2026-01-17 00:00:00+00:00,422
2026-01-18 00:00:00+00:00,423
2026-01-25 00:00:00+00:00,424
